dut_data:157, torch_data:158, c:1, w:2, h:6, i+1:15394, err:-1.0 
dut_data:155, torch_data:156, c:10, w:3, h:6, i+1:15419, err:-1.0 
dut_data:163, torch_data:164, c:5, w:4, h:6, i+1:15430, err:-1.0 
dut_data:169, torch_data:170, c:14, w:15, h:6, i+1:15615, err:-1.0 
dut_data:172, torch_data:173, c:8, w:16, h:6, i+1:15625, err:-1.0 
dut_data:156, torch_data:157, c:5, w:22, h:6, i+1:15718, err:-1.0 
dut_data:175, torch_data:176, c:2, w:25, h:6, i+1:15763, err:-1.0 
dut_data:153, torch_data:154, c:7, w:25, h:6, i+1:15768, err:-1.0 
dut_data:163, torch_data:164, c:12, w:25, h:6, i+1:15773, err:-1.0 
dut_data:192, torch_data:193, c:6, w:29, h:6, i+1:15831, err:-1.0 
dut_data:170, torch_data:171, c:4, w:30, h:6, i+1:15845, err:-1.0 
dut_data:169, torch_data:170, c:8, w:32, h:6, i+1:15881, err:-1.0 
dut_data:179, torch_data:180, c:6, w:37, h:6, i+1:15959, err:-1.0 
dut_data:173, torch_data:174, c:15, w:37, h:6, i+1:15968, err:-1.0 
dut_data:154, torch_data:155, c:4, w:39, h:6, i+1:15989, err:-1.0 
dut_data:162, torch_data:163, c:9, w:44, h:6, i+1:16074, err:-1.0 
dut_data:191, torch_data:192, c:6, w:45, h:6, i+1:16087, err:-1.0 
dut_data:173, torch_data:174, c:8, w:48, h:6, i+1:16137, err:-1.0 
dut_data:153, torch_data:154, c:3, w:49, h:6, i+1:16148, err:-1.0 
dut_data:161, torch_data:162, c:15, w:53, h:6, i+1:16224, err:-1.0 
dut_data:164, torch_data:165, c:9, w:58, h:6, i+1:16298, err:-1.0 
dut_data:152, torch_data:153, c:11, w:65, h:6, i+1:16412, err:-1.0 
dut_data:152, torch_data:153, c:1, w:70, h:6, i+1:16482, err:-1.0 
dut_data:160, torch_data:161, c:0, w:73, h:6, i+1:16529, err:-1.0 
dut_data:153, torch_data:154, c:7, w:73, h:6, i+1:16536, err:-1.0 
dut_data:154, torch_data:155, c:9, w:74, h:6, i+1:16554, err:-1.0 
dut_data:160, torch_data:161, c:13, w:79, h:6, i+1:16638, err:-1.0 
dut_data:159, torch_data:160, c:1, w:82, h:6, i+1:16674, err:-1.0 
dut_data:173, torch_data:174, c:6, w:83, h:6, i+1:16695, err:-1.0 
dut_data:161, torch_data:162, c:10, w:84, h:6, i+1:16715, err:-1.0 
dut_data:157, torch_data:158, c:11, w:88, h:6, i+1:16780, err:-1.0 
dut_data:156, torch_data:157, c:13, w:88, h:6, i+1:16782, err:-1.0 
dut_data:161, torch_data:162, c:4, w:91, h:6, i+1:16821, err:-1.0 
dut_data:154, torch_data:155, c:3, w:94, h:6, i+1:16868, err:-1.0 
dut_data:159, torch_data:160, c:3, w:98, h:6, i+1:16932, err:-1.0 
dut_data:185, torch_data:186, c:8, w:99, h:6, i+1:16953, err:-1.0 
dut_data:166, torch_data:167, c:1, w:100, h:6, i+1:16962, err:-1.0 
dut_data:188, torch_data:189, c:13, w:100, h:6, i+1:16974, err:-1.0 
dut_data:163, torch_data:164, c:15, w:101, h:6, i+1:16992, err:-1.0 
dut_data:155, torch_data:156, c:9, w:102, h:6, i+1:17002, err:-1.0 
dut_data:160, torch_data:161, c:10, w:102, h:6, i+1:17003, err:-1.0 
dut_data:166, torch_data:167, c:14, w:109, h:6, i+1:17119, err:-1.0 
